id,brand,model,price_pkr,price_usd,ram_gb,storage_gb,processor,display,camera,battery,os,market_status,rating,num_reviews,popularity_score,release_year,rag_content
2296,Infinix,Infinix Hot 40 Pro,67999,244.16,6,128,Dimensity 8050,"6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels",50 MP (wide) + 0.08 MP (depth) | 5 MP Front,5000 mAh (non-removable) with 45W Fast Charging,"Android 12, XOS 10.6",Available,3.7,1182,70.7,2024,"Mobile Model: Infinix Hot 40 Pro
Brand: Infinix
Official Price: Rs. 67,999
Status: Available
RAM & Storage: 6GB RAM / 128GB Internal Storage
Processor: Dimensity 8050
Operating System: Android 12, XOS 10.6
Display: 6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels
Camera Setup: 50 MP (wide) + 0.08 MP (depth) | 5 MP Front
Battery & Charging: 5000 mAh (non-removable) with 45W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2297,Xiaomi,Xiaomi POCO X6 SE,243000,872.53,6,64,Dimensity 8300-Ultra,"6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels",50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front,4500 mAh (non-removable) with 25W Fast Charging,"Android 11, MIUI 12.5",Coming Soon,3.7,195,88.4,2024,"Mobile Model: Xiaomi POCO X6 SE
Brand: Xiaomi
Official Price: Rs. 243,000
Status: Coming Soon
RAM & Storage: 6GB RAM / 64GB Internal Storage
Processor: Dimensity 8300-Ultra
Operating System: Android 11, MIUI 12.5
Display: 6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels
Camera Setup: 50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front
Battery & Charging: 4500 mAh (non-removable) with 25W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2298,OnePlus,OnePlus Nord 4 Ultra,337000,1210.05,16,512,Dimensity 9000,"6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,6000 mAh (non-removable) with 70W Fast Charging,"Android 14, OxygenOS 14",Available,3.6,1063,66.8,2021,"Mobile Model: OnePlus Nord 4 Ultra
Brand: OnePlus
Official Price: Rs. 337,000
Status: Available
RAM & Storage: 16GB RAM / 512GB Internal Storage
Processor: Dimensity 9000
Operating System: Android 14, OxygenOS 14
Display: 6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2299,Infinix,Infinix Hot 40 Pro Lite,101999,366.24,6,128,Unisoc T606,"6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels",108 MP (wide) + 2 MP (depth) | 16 MP Front,7000 mAh (non-removable) with 33W Fast Charging,"Android 12, XOS 10.6",Upcoming,4.4,1154,77.9,2023,"Mobile Model: Infinix Hot 40 Pro Lite
Brand: Infinix
Official Price: Rs. 101,999
Status: Upcoming
RAM & Storage: 6GB RAM / 128GB Internal Storage
Processor: Unisoc T606
Operating System: Android 12, XOS 10.6
Display: 6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels
Camera Setup: 108 MP (wide) + 2 MP (depth) | 16 MP Front
Battery & Charging: 7000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2300,Vivo,Vivo X100 5G,304999,1095.15,12,256,Helio P35,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 45W Fast Charging,"Android 14, Funtouch 14",Discontinued,4.5,304,60.1,2025,"Mobile Model: Vivo X100 5G
Brand: Vivo
Official Price: Rs. 304,999
Status: Discontinued
RAM & Storage: 12GB RAM / 256GB Internal Storage
Processor: Helio P35
Operating System: Android 14, Funtouch 14
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 45W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2301,Tecno,Tecno Phantom X2 Pro 2021,228000,818.67,16,1024,Helio G99 Ultimate,"6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,5000 mAh (non-removable) with 18W Fast Charging,"Android 14, HIOS 14",Discontinued,3.4,1406,86.7,2024,"Mobile Model: Tecno Phantom X2 Pro 2021
Brand: Tecno
Official Price: Rs. 228,000
Status: Discontinued
RAM & Storage: 16GB RAM / 1TB Internal Storage
Processor: Helio G99 Ultimate
Operating System: Android 14, HIOS 14
Display: 6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 5000 mAh (non-removable) with 18W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2302,Vivo,Vivo iQOO Neo 9 Pro Play,188000,675.04,4,128,Snapdragon 7 Gen 3,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,6000 mAh (non-removable) with 70W Fast Charging,"Android 12, Funtouch 12",Upcoming,4.8,1279,52.6,2025,"Mobile Model: Vivo iQOO Neo 9 Pro Play
Brand: Vivo
Official Price: Rs. 188,000
Status: Upcoming
RAM & Storage: 4GB RAM / 128GB Internal Storage
Processor: Snapdragon 7 Gen 3
Operating System: Android 12, Funtouch 12
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2303,Samsung,Samsung Galaxy S Neo,150000,538.6,8,256,Snapdragon 8 Gen 2,"6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels",13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front,6000 mAh (non-removable) with 70W Fast Charging,"Android 11, One UI 3.1",Available,3.5,1253,92.2,2024,"Mobile Model: Samsung Galaxy S Neo
Brand: Samsung
Official Price: Rs. 150,000
Status: Available
RAM & Storage: 8GB RAM / 256GB Internal Storage
Processor: Snapdragon 8 Gen 2
Operating System: Android 11, One UI 3.1
Display: 6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels
Camera Setup: 13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2304,Infinix,Infinix Note 30 VIP Neo,100999,362.65,8,128,Dimensity 8200 Ultimate,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front,7000 mAh (non-removable) with 33W Fast Charging,"Android 13, XOS 13",Available,4.2,188,59.8,2023,"Mobile Model: Infinix Note 30 VIP Neo
Brand: Infinix
Official Price: Rs. 100,999
Status: Available
RAM & Storage: 8GB RAM / 128GB Internal Storage
Processor: Dimensity 8200 Ultimate
Operating System: Android 13, XOS 13
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front
Battery & Charging: 7000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2305,Tecno,Tecno Pop 8 SE,202999,728.9,8,128,Dimensity 8200 Ultimate,"6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels",50 MP (wide) + 0.08 MP (depth) | 5 MP Front,5000 mAh (non-removable) with 67W Fast Charging,"Android 13, HIOS 13",Discontinued,4.5,1334,93.3,2022,"Mobile Model: Tecno Pop 8 SE
Brand: Tecno
Official Price: Rs. 202,999
Status: Discontinued
RAM & Storage: 8GB RAM / 128GB Internal Storage
Processor: Dimensity 8200 Ultimate
Operating System: Android 13, HIOS 13
Display: 6.5 inches IPS LCD, 60Hz, 720 x 1600 pixels
Camera Setup: 50 MP (wide) + 0.08 MP (depth) | 5 MP Front
Battery & Charging: 5000 mAh (non-removable) with 67W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2306,Motorola,Motorola Razr 40 Ultra Plus,121999,438.06,3,32,Snapdragon 7s Gen 2,"6.8 inches Dynamic LTPO AMOLED 2X, 120Hz, 1440 x 3120 pixels",50 MP (wide) + 2 MP (depth) | 8 MP Front,4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe,"Android 13, MyUX",Available,4.7,69,67.5,2023,"Mobile Model: Motorola Razr 40 Ultra Plus
Brand: Motorola
Official Price: Rs. 121,999
Status: Available
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Snapdragon 7s Gen 2
Operating System: Android 13, MyUX
Display: 6.8 inches Dynamic LTPO AMOLED 2X, 120Hz, 1440 x 3120 pixels
Camera Setup: 50 MP (wide) + 2 MP (depth) | 8 MP Front
Battery & Charging: 4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe
Source: WhatMobile Pakistan Realtime Catalog"
2307,Samsung,Samsung Galaxy S,322999,1159.78,4,64,Snapdragon 888,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front,5000 mAh (non-removable) with 33W Fast Charging,"Android 12, One UI 4.1",Available,4.5,1304,85.8,2025,"Mobile Model: Samsung Galaxy S
Brand: Samsung
Official Price: Rs. 322,999
Status: Available
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Snapdragon 888
Operating System: Android 12, One UI 4.1
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front
Battery & Charging: 5000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2308,Vivo,Vivo V30 Neo,249000,894.08,8,512,Helio G85,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",50 MP (wide) + 2 MP (depth) | 8 MP Front,5500 mAh (non-removable) with 100W HyperCharge,"Android 13, Funtouch 13",Discontinued,4.6,319,65.8,2026,"Mobile Model: Vivo V30 Neo
Brand: Vivo
Official Price: Rs. 249,000
Status: Discontinued
RAM & Storage: 8GB RAM / 512GB Internal Storage
Processor: Helio G85
Operating System: Android 13, Funtouch 13
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 50 MP (wide) + 2 MP (depth) | 8 MP Front
Battery & Charging: 5500 mAh (non-removable) with 100W HyperCharge
Source: WhatMobile Pakistan Realtime Catalog"
2309,OnePlus,OnePlus 9RT 2021,72000,258.53,12,256,Helio G35,"6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels",50 MP (wide) + 2 MP (depth) | 8 MP Front,7000 mAh (non-removable) with 33W Fast Charging,Android 12,Available,3.9,1323,94.8,2024,"Mobile Model: OnePlus 9RT 2021
Brand: OnePlus
Official Price: Rs. 72,000
Status: Available
RAM & Storage: 12GB RAM / 256GB Internal Storage
Processor: Helio G35
Operating System: Android 12
Display: 6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels
Camera Setup: 50 MP (wide) + 2 MP (depth) | 8 MP Front
Battery & Charging: 7000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2310,Sparx,Sparx Edge 20 Pro+,57999,208.25,3,32,Helio G88,"6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels",50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front,7000 mAh (non-removable) with 33W Fast Charging,Android 12,Coming Soon,4.6,988,56.3,2021,"Mobile Model: Sparx Edge 20 Pro+
Brand: Sparx
Official Price: Rs. 57,999
Status: Coming Soon
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Helio G88
Operating System: Android 12
Display: 6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels
Camera Setup: 50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front
Battery & Charging: 7000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2311,Oppo,Oppo A78 v2,202999,728.9,16,512,Snapdragon 680,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",50 MP (wide) + 2 MP (depth) | 8 MP Front,5500 mAh (non-removable) with 100W HyperCharge,"Android 13, ColorOS 13.1",Coming Soon,3.5,1140,58.8,2022,"Mobile Model: Oppo A78 v2
Brand: Oppo
Official Price: Rs. 202,999
Status: Coming Soon
RAM & Storage: 16GB RAM / 512GB Internal Storage
Processor: Snapdragon 680
Operating System: Android 13, ColorOS 13.1
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 50 MP (wide) + 2 MP (depth) | 8 MP Front
Battery & Charging: 5500 mAh (non-removable) with 100W HyperCharge
Source: WhatMobile Pakistan Realtime Catalog"
2312,Honor,Honor X5 Plus SE,31000,111.31,4,128,Snapdragon 680,"6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels",48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 45W Fast Charging,Android 12,Coming Soon,4.7,1263,74.4,2023,"Mobile Model: Honor X5 Plus SE
Brand: Honor
Official Price: Rs. 31,000
Status: Coming Soon
RAM & Storage: 4GB RAM / 128GB Internal Storage
Processor: Snapdragon 680
Operating System: Android 12
Display: 6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels
Camera Setup: 48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 45W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2313,Motorola,Motorola Edge 30 Ultra v4,117999,423.69,4,64,Helio G85,"6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels",48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe,"Android 13, MyUX",Available,4.2,1282,54.1,2024,"Mobile Model: Motorola Edge 30 Ultra v4
Brand: Motorola
Official Price: Rs. 117,999
Status: Available
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Helio G85
Operating System: Android 13, MyUX
Display: 6.67 inches AMOLED, 120Hz, Dolby Vision, 1080 x 2400 pixels
Camera Setup: 48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe
Source: WhatMobile Pakistan Realtime Catalog"
2314,Infinix,Infinix GT 10 Pro Lite,27999,100.54,12,512,Helio G99,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5000 mAh (non-removable) with 18W Fast Charging,"Android 14, XOS 14",Upcoming,4.6,711,59.7,2021,"Mobile Model: Infinix GT 10 Pro Lite
Brand: Infinix
Official Price: Rs. 27,999
Status: Upcoming
RAM & Storage: 12GB RAM / 512GB Internal Storage
Processor: Helio G99
Operating System: Android 14, XOS 14
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5000 mAh (non-removable) with 18W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2315,Oppo,Oppo Reno 11F Ultra,103999,373.43,12,512,Dimensity 7050,"6.56 inches IPS LCD, 90Hz, 720 x 1612 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,5000 mAh (non-removable) with 45W Fast Charging,"Android 12, ColorOS 12",Available,4.1,94,96.7,2026,"Mobile Model: Oppo Reno 11F Ultra
Brand: Oppo
Official Price: Rs. 103,999
Status: Available
RAM & Storage: 12GB RAM / 512GB Internal Storage
Processor: Dimensity 7050
Operating System: Android 12, ColorOS 12
Display: 6.56 inches IPS LCD, 90Hz, 720 x 1612 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 5000 mAh (non-removable) with 45W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2316,Samsung,Samsung Galaxy Note Neo,404999,1454.22,3,32,Snapdragon 7s Gen 2,"6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels",13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front,5000 mAh (non-removable) with 33W Fast Charging,"Android 14, One UI 6.1",Coming Soon,4.4,1221,98.3,2023,"Mobile Model: Samsung Galaxy Note Neo
Brand: Samsung
Official Price: Rs. 404,999
Status: Coming Soon
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Snapdragon 7s Gen 2
Operating System: Android 14, One UI 6.1
Display: 6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels
Camera Setup: 13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front
Battery & Charging: 5000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2317,itel,itel Color Pro 5G Ultra,21999,78.99,12,512,MediaTek Helio G91 Ultra,"6.56 inches IPS LCD, 90Hz, 720 x 1612 pixels",50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front,5000 mAh (non-removable) with 45W Fast Charging,Android 11,Available,4.2,263,68.6,2025,"Mobile Model: itel Color Pro 5G Ultra
Brand: itel
Official Price: Rs. 21,999
Status: Available
RAM & Storage: 12GB RAM / 512GB Internal Storage
Processor: MediaTek Helio G91 Ultra
Operating System: Android 11
Display: 6.56 inches IPS LCD, 90Hz, 720 x 1612 pixels
Camera Setup: 50 MP (wide) OIS + 50 MP (periscope telephoto) + 50 MP (ultrawide) | 32 MP Front
Battery & Charging: 5000 mAh (non-removable) with 45W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2318,Xiaomi,Xiaomi Redmi Note 13 Neo,324999,1166.96,6,64,MediaTek Dimensity 7200-Ultra,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front,4500 mAh (non-removable) with 25W Fast Charging,"Android 14, HyperOS",Available,4.5,1390,95.7,2025,"Mobile Model: Xiaomi Redmi Note 13 Neo
Brand: Xiaomi
Official Price: Rs. 324,999
Status: Available
RAM & Storage: 6GB RAM / 64GB Internal Storage
Processor: MediaTek Dimensity 7200-Ultra
Operating System: Android 14, HyperOS
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 13 MP (wide) + 0.08 MP (auxiliary lens) | 5 MP Front
Battery & Charging: 4500 mAh (non-removable) with 25W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2319,Xiaomi,Xiaomi Xiaomi 14 Pro,236999,850.98,12,512,Snapdragon 7s Gen 2,"6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels",50 MP (wide) + 0.08 MP (depth) | 5 MP Front,4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe,"Android 12, MIUI 13",Available,3.5,807,77.0,2025,"Mobile Model: Xiaomi Xiaomi 14 Pro
Brand: Xiaomi
Official Price: Rs. 236,999
Status: Available
RAM & Storage: 12GB RAM / 512GB Internal Storage
Processor: Snapdragon 7s Gen 2
Operating System: Android 12, MIUI 13
Display: 6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels
Camera Setup: 50 MP (wide) + 0.08 MP (depth) | 5 MP Front
Battery & Charging: 4441 mAh (non-removable) with 27W Fast Charging / 15W MagSafe
Source: WhatMobile Pakistan Realtime Catalog"
2320,Realme,Realme 12+ 5G Lite,142999,513.46,12,256,Helio G85,"6.56 inches IPS LCD, 90Hz, 720 x 1612 pixels",50 MP (wide) + 0.08 MP (depth) | 5 MP Front,5400 mAh (non-removable) with 120W FlashCharge,"Android 12, Realme UI 3.0",Available,3.5,908,63.4,2024,"Mobile Model: Realme 12+ 5G Lite
Brand: Realme
Official Price: Rs. 142,999
Status: Available
RAM & Storage: 12GB RAM / 256GB Internal Storage
Processor: Helio G85
Operating System: Android 12, Realme UI 3.0
Display: 6.56 inches IPS LCD, 90Hz, 720 x 1612 pixels
Camera Setup: 50 MP (wide) + 0.08 MP (depth) | 5 MP Front
Battery & Charging: 5400 mAh (non-removable) with 120W FlashCharge
Source: WhatMobile Pakistan Realtime Catalog"
2321,Google,Google Pixel 8 Pro Max,306999,1102.33,12,256,Google Tensor (1st Gen),"6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels",48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,5500 mAh (non-removable) with 100W HyperCharge,Android 11,Discontinued,3.8,221,84.8,2024,"Mobile Model: Google Pixel 8 Pro Max
Brand: Google
Official Price: Rs. 306,999
Status: Discontinued
RAM & Storage: 12GB RAM / 256GB Internal Storage
Processor: Google Tensor (1st Gen)
Operating System: Android 11
Display: 6.74 inches IPS LCD, 90Hz, 720 x 1600 pixels
Camera Setup: 48 MP (wide) OIS + 12 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 5500 mAh (non-removable) with 100W HyperCharge
Source: WhatMobile Pakistan Realtime Catalog"
2322,Realme,Realme 12+ 5G Lite,45000,161.58,4,128,Snapdragon 7s Gen 2,"6.8 inches Dynamic LTPO AMOLED 2X, 120Hz, 1440 x 3120 pixels",50 MP (wide) + 0.08 MP (depth) | 5 MP Front,5000 mAh (non-removable) with 67W Fast Charging,"Android 12, Realme UI 3.0",Discontinued,3.6,827,82.6,2024,"Mobile Model: Realme 12+ 5G Lite
Brand: Realme
Official Price: Rs. 45,000
Status: Discontinued
RAM & Storage: 4GB RAM / 128GB Internal Storage
Processor: Snapdragon 7s Gen 2
Operating System: Android 12, Realme UI 3.0
Display: 6.8 inches Dynamic LTPO AMOLED 2X, 120Hz, 1440 x 3120 pixels
Camera Setup: 50 MP (wide) + 0.08 MP (depth) | 5 MP Front
Battery & Charging: 5000 mAh (non-removable) with 67W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2323,Google,Google Pixel 6 Pro 2024,45999,165.17,4,128,Google Tensor (1st Gen),"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",108 MP (wide) + 2 MP (depth) | 16 MP Front,6000 mAh (non-removable) with 70W Fast Charging,Android 14,Discontinued,4.7,620,99.0,2024,"Mobile Model: Google Pixel 6 Pro 2024
Brand: Google
Official Price: Rs. 45,999
Status: Discontinued
RAM & Storage: 4GB RAM / 128GB Internal Storage
Processor: Google Tensor (1st Gen)
Operating System: Android 14
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 108 MP (wide) + 2 MP (depth) | 16 MP Front
Battery & Charging: 6000 mAh (non-removable) with 70W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2324,Dcode,Dcode Cygnal 2 Plus Prime,37000,132.85,16,512,Helio G99,"6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels",108 MP (wide) + 2 MP (depth) | 16 MP Front,5500 mAh (non-removable) with 100W HyperCharge,Android 13,Available,3.7,458,63.1,2024,"Mobile Model: Dcode Cygnal 2 Plus Prime
Brand: Dcode
Official Price: Rs. 37,000
Status: Available
RAM & Storage: 16GB RAM / 512GB Internal Storage
Processor: Helio G99
Operating System: Android 13
Display: 6.78 inches AMOLED, 120Hz, 1260 x 2800 pixels
Camera Setup: 108 MP (wide) + 2 MP (depth) | 16 MP Front
Battery & Charging: 5500 mAh (non-removable) with 100W HyperCharge
Source: WhatMobile Pakistan Realtime Catalog"
2325,Infinix,Infinix Zero 30 4G Neo,118000,423.7,3,32,Helio G88,"6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels",50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front,5000 mAh (non-removable) with 18W Fast Charging,"Android 12, XOS 10.6",Available,4.9,471,83.3,2026,"Mobile Model: Infinix Zero 30 4G Neo
Brand: Infinix
Official Price: Rs. 118,000
Status: Available
RAM & Storage: 3GB RAM / 32GB Internal Storage
Processor: Helio G88
Operating System: Android 12, XOS 10.6
Display: 6.7 inches LTPO AMOLED, 1-120Hz, HDR10+, 1440 x 3120 pixels
Camera Setup: 50 MP (wide) OIS + 8 MP (ultrawide) + 2 MP (macro) | 16 MP Front
Battery & Charging: 5000 mAh (non-removable) with 18W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2326,Honor,Honor 70 Neo,26999,96.94,6,64,Snapdragon 680,"6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels",200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front,7000 mAh (non-removable) with 33W Fast Charging,Android 12,Available,3.9,979,52.6,2025,"Mobile Model: Honor 70 Neo
Brand: Honor
Official Price: Rs. 26,999
Status: Available
RAM & Storage: 6GB RAM / 64GB Internal Storage
Processor: Snapdragon 680
Operating System: Android 12
Display: 6.1 inches Super Retina XDR OLED, 1179 x 2556 pixels
Camera Setup: 200 MP (wide) OIS + 12 MP (periscope) + 10 MP (telephoto) + 12 MP (ultrawide) | 12 MP Front
Battery & Charging: 7000 mAh (non-removable) with 33W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
2327,Xiaomi,Xiaomi Redmi Note 13 Pro SE,307999,1105.92,4,64,Dimensity 8300-Ultra,"6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels",64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front,5000 mAh (non-removable) with 18W Fast Charging,"Android 11, MIUI 12.5",Available,3.7,483,55.6,2025,"Mobile Model: Xiaomi Redmi Note 13 Pro SE
Brand: Xiaomi
Official Price: Rs. 307,999
Status: Available
RAM & Storage: 4GB RAM / 64GB Internal Storage
Processor: Dimensity 8300-Ultra
Operating System: Android 11, MIUI 12.5
Display: 6.7 inches Super Retina XDR OLED, 120Hz, 1290 x 2796 pixels
Camera Setup: 64 MP (wide) + 2 MP (macro) + 2 MP (depth) | 16 MP Front
Battery & Charging: 5000 mAh (non-removable) with 18W Fast Charging
Source: WhatMobile Pakistan Realtime Catalog"
